Company ID,DSRI,GMI,AQI,SGI,DEPI,SGAI,ACCR,LEVI,Manipulator,M-SCORE,C-MANIPULATOR
84,0.986057162,0.915148498,0.961982292,1.082596488,1.105168457,0.977568897,-0.022034213,0.960679095,No,-2.553599715,0
193,1.328225755,1,1.055136665,0.964978235,1.015268822,0.921149158,-0.084340779,0.925724115,No,-2.542020538,0
152,1.232191398,1.063301339,0.021349316,0.964956411,0.836885291,1.103960904,0.033289019,0.998526236,No,-2.539992791,0
158,1.052650761,1.089859927,1.427345352,0.966672001,1.029554417,1.099048778,-0.056623544,1.004025749,No,-2.521091925,0
103,1.080524465,1.001378601,1.00371865,1.191511472,0.950242022,0.905955708,-0.053090962,1.141955895,No,-2.517237761,0
144,1.092806028,1,1.094983537,1.116808412,0.944253775,1.148669986,-0.054029547,0.939538043,No,-2.517067246,0
143,1.367597719,1.139588153,1.14365876,0.947435331,0.995045422,1.242602298,-0.082104494,1.08299834,No,-2.510561856,0
165,0.616889789,0.416007839,0.531348511,1.890867776,3.139255108,0.392785566,-0.015638817,1.721416568,No,-2.494112423,0
92,1.689929042,1.158598988,1.292685952,0.622986849,1.942485908,0.990800882,-0.12042539,1.178092416,No,-2.491314114,0
74,0.839451207,1.10284968,1.435702092,1.254837691,0.930773103,1.043626852,-0.070699338,0.863701411,No,-2.471758869,0
42,0.774841025,1,0.641084408,1.433708541,1.263492435,0.983886786,-0.007443183,1.048663277,No,-2.46294658,0
106,1.044175039,0.966298326,1.022875201,1.132393635,0.897090332,1.175161908,-0.023037726,0.936326045,No,-2.458751341,0
196,0.906477581,1.117315196,1.952101876,1.003546987,0.901631053,0.98445994,-0.088135991,0.752481985,No,-2.456374581,0
170,1.124158152,0.952744215,1.250047094,1.019313002,1.082012814,1.008986267,-0.036083393,1.047923323,No,-2.449098618,0
68,0.886111005,1.145704979,0.795674887,1.106115581,0.948687035,0.865558197,0.015226395,1.092294647,No,-2.437450942,0
119,1.131973155,1.025394571,1.188680427,1.037419545,1.058964936,1.126558078,-0.02307988,1.238712335,No,-2.436607951,0
80,0.92768486,0.987919477,0.570605705,1.175658386,1.003713161,0.919582889,0.026476601,1.003619014,No,-2.432737105,0
164,0.803448753,1.173959596,1.182607717,1.219999161,1.068515587,0.953281839,-0.027101547,1.042435989,No,-2.423733602,0
121,0.783379907,1.108349287,0.928060931,1.702296734,0.871681019,1.687086114,-0.053813412,1.008733909,No,-2.412281197,0
186,1.596235648,0.984106687,1.994580013,0.537253543,1.001776241,2.782291258,-0.035705274,0.939013356,No,-2.404286561,0
213,1.803483096,0.869359313,-1.55656871,1.072133874,0.996276823,0.733333685,0.080735748,1.136785462,No,-2.399812018,0
150,0.542377709,0.87719863,1.064936362,1.653892123,0.814417795,1.127973831,0.002654855,0.993403165,No,-2.385119788,0
142,1.084269081,0.517217192,2.660546874,0.868345768,0.954424818,0.88817365,-0.049645662,1.157899018,No,-2.373888451,0
206,0.939517646,0.968436553,0.94596068,1.243008489,1.021330247,0.919153863,-0.008400194,0.966534955,No,-2.369380503,0
48,0.997862443,0.950067371,1.160135875,1.006324699,1.031186368,0.599655635,0.043733028,1.570583737,No,-2.347502836,0
120,1.049064463,1.071791473,0.992403257,1.328434984,1.116544547,0.849201149,-0.052830602,1.084942283,No,-2.342690363,0
83,0.942181662,1.066789574,0.840315058,1.361276196,0.929332598,1.02921952,-0.025323418,0.909293631,No,-2.342162124,0
59,1.510233706,1.46751838,1.103944117,0.714606251,0.897295786,0.364601574,-0.089547276,1.106882421,No,-2.332777798,0
50,0.911379462,1.177776942,0.964304859,1.209115815,0.918166167,0.950886495,-0.009584309,0.972585881,No,-2.332398132,0
131,1.341822837,0.761632833,1.308230218,1.044472211,0.99588752,1.150610235,-0.027855559,1.115708225,No,-2.32173728,0
146,1.179871019,1.031362985,1.053117119,0.983186613,1.071822235,0.956495294,0.00307053,1.170272991,No,-2.317067123,0
43,1.072573592,1.04642748,1.061133084,1.064932907,0.95933616,0.711300413,-0.008174285,1.021771135,No,-2.30648732,0
89,0.753406759,1.569186878,0.608108829,1.164531262,1.682437522,0.871732412,-0.013673988,0.763912717,No,-2.304134966,0
211,1.25304718,0.994532135,0.301031856,0.969330855,1.07000469,0.863940826,0.053134348,1.017307158,No,-2.285414744,0
115,1.176696209,1.000896785,1.103988424,1.094185346,1.148500931,0.959115888,-0.013468234,1.156447293,No,-2.281007791,0
88,0.919555079,1.013169473,0.9922188,1.107826498,1.016384792,0.909044489,0.011230115,0.674094584,No,-2.277372836,0
69,1.549906816,0.996710305,1.343654387,1.127156764,0.920666665,0.965469337,-0.124358938,0.903108812,No,-2.276938594,0
140,0.666783715,1.477203822,0.123985666,1.631319275,0.999442676,0.65078939,-0.006202414,0.944946946,No,-2.276386976,0
182,0.990083021,1.012670377,1.067841824,0.966127799,0.907434582,1.130393084,0.050784252,0.940952999,No,-2.261384317,0
156,1.086063004,1.015154495,0.520893805,1.058386412,1.066506202,1.02134582,0.060189387,1.017812711,No,-2.254520569,0
57,1.037076105,0.986551837,1.055848137,1.245600175,0.857705707,1.016037368,-0.001387902,0.971349375,No,-2.22760012,0
11,1,0.863155535,1.009766908,1.39501385,1.00187188,0.987882273,-0.004573519,1.006393846,Yes,-2.21714646,1
137,1.358566129,0.964224557,0.87500611,1.112178871,0.933889117,1.093258777,0.001488395,1.231213889,No,-2.211728577,0
168,0.968232561,0.999875148,1.094005644,1.206065551,1.008316243,0.786820574,0.01965759,1.108309087,No,-2.193319193,0
49,1.075149482,1.03714577,0.828893302,1.073070881,0.965693744,0.839294567,0.022419826,0.742698542,No,-2.182461332,0
75,1.189989162,1.094789561,0.847110526,1.046526419,1.033643654,0.936494701,0.018273444,0.997100288,No,-2.174185283,0
7,1.447483586,0.998407375,0.966552642,0.911808894,1.058860983,0.898420927,-0.036551612,0.48907319,Yes,-2.141046518,1
176,1.560459676,0.905881075,1.309287828,1.205404395,0.943659558,0.988729391,-0.08885689,1.024008646,No,-2.134051709,0
102,1.121103705,1.005686239,1.372289141,1.120023149,0.991525572,1.029729461,-0.010746729,0.838781362,No,-2.111770272,0
163,1.253415586,0.969969443,0.979359057,1.026431266,1.070841428,1.233052313,0.04060332,1.062738661,No,-2.109946888,0
185,1.669861593,1,1.048737811,0.668166312,1.054006496,0.52762668,-0.015932196,0.937101801,No,-2.106552984,0
15,1.252242124,1.006479864,1.174924006,1.250303986,0.953411259,1.111494403,-0.013453903,1.118080798,Yes,-2.076673399,1
181,1.318461157,1.349768247,1.072410918,0.978021376,1.231770957,0.592515769,-0.031918317,1.080603456,No,-2.07165121,0
113,1.138268319,1.079710956,0.800648364,1.066808157,1.055813232,1.078739887,0.060012165,1.002949624,No,-2.058943293,0
128,1.138698197,1.023651654,1.04014946,1.271623528,0.922946229,1.141844395,0.014420981,0.989918434,No,-2.043886994,0
79,1.141091964,0.970997351,2.638112309,0.911914221,1.037347602,0.996180368,-0.059712534,0.952707695,No,-2.041262346,0
5,1,1.369037818,0.637111992,0.861346411,1.454675658,1.741459627,0.123047699,0.939047219,Yes,-2.035005401,1
217,0.909365041,1.170297947,1.97187429,1.279013462,0.971605274,0.985939124,-0.035854,1.02510202,No,-2.008765774,0
82,1.587257058,1.005870849,1.104678583,0.731052302,0.957237197,1.390213068,0.019789565,0.677187805,No,-2.008114305,0
190,0.905362148,0.997195887,1.420591992,1.243444808,0.939159325,0.874762829,0.002790826,0.530592206,No,-2.000376723,0
179,0.973788792,1,1.76871997,1.245602252,0.902312893,0.779830212,-0.027999942,0.749526581,No,-1.996945969,0
114,1.134392522,1.209065931,1.660997192,1.235956109,1.084340456,1.07412841,-0.032657761,1.207059337,No,-1.992021354,0
91,1.296038729,1.421337556,0.822640183,0.963968292,1.270363689,0.966185876,0.018582998,1.071790345,No,-1.988589531,0
151,1.18861866,0.759924243,1.226515228,1.098423316,0.961683687,0.899809826,0.05991608,1.069828334,No,-1.983585275,0
